,lon,lat,alt,accuracy,speed,angle
20140120 15:33:42:337,-4.6723087310791016E8,-2.3560163497924805E8,723.847,80.0,0.0,-21.599976
20140120 15:33:42:536,-4.6723087310791016E8,-2.3560163497924805E8,723.8476,40.0,0.0,-125.400024
20140120 15:33:42:736,-4.6723087310791016E8,-2.3560163497924805E8,723.8476,40.0,0.0,-125.400024
20140120 15:33:42:941,-4.6723087310791016E8,-2.3560163497924805E8,723.8476,40.0,0.0,-125.400024
20140120 15:33:43:137,-4.6723087310791016E8,-2.3560163497924805E8,723.8476,40.0,0.0,-125.400024
20140120 15:33:43:373,-4.6723087310791016E8,-2.3560163497924805E8,723.8476,40.0,0.0,-125.400024
20140120 15:33:43:536,-4.6723087310791016E8,-2.3560163497924805E8,723.8502,40.0,0.0,-161.90002
20140120 15:33:43:736,-4.6723087310791016E8,-2.3560163497924805E8,723.8502,40.0,0.0,-161.90002
20140120 15:33:43:953,-4.6723087310791016E8,-2.3560163497924805E8,723.8502,40.0,0.0,-161.90002
20140120 15:33:44:135,-4.6723087310791016E8,-2.3560163497924805E8,723.8502,40.0,0.0,-161.90002
20140120 15:33:44:337,-4.6723087310791016E8,-2.3560163497924805E8,723.8502,40.0,0.0,-161.90002
20140120 15:33:44:536,-4.6723087310791016E8,-2.3560163497924805E8,723.85297,40.0,0.0,-110.70001
20140120 15:33:44:760,-4.6723087310791016E8,-2.3560163497924805E8,723.85297,40.0,0.0,-110.70001
20140120 15:33:44:937,-4.6723087310791016E8,-2.3560163497924805E8,723.85297,40.0,0.0,-110.70001
20140120 15:33:45:137,-4.6723087310791016E8,-2.3560163497924805E8,723.85297,40.0,0.0,-110.70001
20140120 15:33:45:340,-4.6723087310791016E8,-2.3560163497924805E8,723.85297,40.0,0.0,-110.70001
20140120 15:33:45:597,-4.6723087310791016E8,-2.3560163497924805E8,723.855,40.0,0.0,-88.29999
20140120 15:33:45:752,-4.6723087310791016E8,-2.3560163497924805E8,723.855,40.0,0.0,-88.29999
